ticker,calendarDate,accumulatedOtherComprehensiveIncome,assets,assetsCurrent,assetsNonCurrent,bookValuePerShare,capitalExpenditure,cashAndEquivalents,cashAndEquivalentsUSD,costOfRevenue,consolidatedIncome,currentRatio,debtToEquityRatio,debt,debtCurrent,debtNonCurrent,debtUSD,deferredRevenue,depreciationAmortizationAndAccretion,deposits,dividendYield,dividendsPerBasicCommonShare,earningBeforeInterestTaxes,earningsBeforeInterestTaxesDepreciationAmortization,EBITDAMargin,earningsBeforeInterestTaxesDepreciationAmortizationUSD,earningBeforeInterestTaxesUSD,earningsBeforeTax,earningsPerBasicShare,earningsPerDilutedShare,earningsPerBasicShareUSD,shareholdersEquity,shareholdersEquityUSD,enterpriseValue,enterpriseValueOverEBIT,enterpriseValueOverEBITDA,freeCashFlow,freeCashFlowPerShare,foreignCurrencyUSDExchangeRate,grossProfit,grossMargin,goodwillAndIntangibleAssets,interestExpense,investedCapital,inventory,investments,investmentsCurrent,investmentsNonCurrent,totalLiabilities,currentLiabilities,liabilitiesNonCurrent,marketCapitalization,netCashFlow,netCashFlowBusinessAcquisitionsDisposals,issuanceEquityShares,issuanceDebtSecurities,paymentDividendsOtherCashDistributions,netCashFlowFromFinancing,netCashFlowFromInvesting,netCashFlowInvestmentAcquisitionsDisposals,netCashFlowFromOperations,effectOfExchangeRateChangesOnCash,netIncome,netIncomeCommonStock,netIncomeCommonStockUSD,netLossIncomeFromDiscontinuedOperations,netIncomeToNonControllingInterests,profitMargin,operatingExpenses,operatingIncome,tradeAndNonTradePayables,payoutRatio,priceToBookValue,priceEarnings,priceToEarningsRatio,propertyPlantEquipmentNet,preferredDividendsIncomeStatementImpact,sharePriceAdjustedClose,priceSales,priceToSalesRatio,tradeAndNonTradeReceivables,accumulatedRetainedEarningsDeficit,revenues,revenuesUSD,researchAndDevelopmentExpense,shareBasedCompensation,sellingGeneralAndAdministrativeExpense,shareFactor,shares,weightedAverageShares,weightedAverageSharesDiluted,salesPerShare,tangibleAssetValue,taxAssets,incomeTaxExpense,taxLiabilities,tangibleAssetsBookValuePerShare,workingCapital,change_leverage,change_curr_ratio,change_shares,change_gross_margin
A,2019-12-31,-521000000,9501000000,3102000000.0,6399000000.0,15.639,-34000000,1226000000,1226000000,634000000,197000000,1.64,0.96,2462000000,675000000.0,1787000000.0,2462000000,379000000,79000000,0,0.008,0.18,239000000,318000000,0.234,318000000,239000000,219000000,0.64,0.63,0.64,4848000000,4848000000,26618121897.0,28.0,21.658,-93000000,-0.3,1,723000000,0.533,4648000000,20000000,4197000000,706000000,118000000,0.0,118000000.0,4653000000,1892000000.0,2761000000.0,25382121897.0,-156000000,0,-28000000,56000000,-56000000,-61000000,-35000000,-1000000,-59000000,-1000000,197000000,197000000,197000000,0,0,0.145,508000000,215000000,329000000,0.281,5.236,33.223,33.457,844000000,0,81.97,4.848,4.853,966000000,73000000.0,1357000000,1357000000,104000000,27000000,404000000,1.0,309651359,310000000,313000000.0,4.377,4853000000,0,22000000,0,15.655,1210000000.0,55000000,0.1069999999999999,-532056,-0.006
AA,2020-03-31,-4898000000,13651000000,3333000000.0,10318000000.0,22.994,-91000000,829000000,829000000,2025000000,139000000,1.499,1.834,1802000000,1000000.0,1801000000.0,1802000000,0,170000000,0,0.0,0.0,190000000,360000000,0.151,360000000,190000000,160000000,0.43,0.43,0.43,4275000000,4275000000,2584916247.0,-7.0,7.809,-181000000,-0.974,1,356000000,0.15,0,30000000,12401000000,1509000000,1059000000,0.0,1059000000.0,7840000000,2223000000.0,5617000000.0,1611916247.0,-51000000,0,0,0,0,-44000000,107000000,-1000000,-90000000,-24000000,80000000,80000000,80000000,0,59000000,0.034,107000000,249000000,1276000000,0.0,0.377,-1.905,-1.897,7160000000,0,8.67,0.16,0.16,665000000,-476000000.0,2381000000,2381000000,7000000,8000000,60000000,1.0,185918829,185918829,,12.807,13651000000,425000000,80000000,377000000,73.425,1110000000.0,2000000,0.1220000000000001,3587,-0.009
AAPL,2020-03-31,-2789000000,320400000000,143753000000.0,176647000000.0,17.987,-1853000000,40174000000,40174000000,35943000000,11249000000,1.496,3.085,109507000000,20421000000.0,89086000000.0,109507000000,5928000000,2786000000,0,0.011,0.77,13135000000,15921000000,0.273,15921000000,13135000000,13135000000,2.58,2.55,2.58,78425000000,78425000000,1322259218450.0,20.0,16.779,11458000000,2.628,1,22370000000,0.384,0,0,293639000000,3334000000,152670000000,53877000000.0,98793000000.0,241975000000,96094000000.0,145881000000.0,1252926218450.0,1384000000,-176000000,-18146000000,803000000,-3375000000,-20940000000,9013000000,11338000000,13311000000,0,11249000000,11249000000,11249000000,0,0,0.193,9517000000,12853000000,32421000000,0.298,15.976,21.899,22.461,35889000000,0,289.07,4.675,4.703,30677000000,33182000000.0,58313000000,58313000000,4565000000,1697000000,4952000000,1.0,4334335000,4360101000,4404691000.0,13.374,320400000000,0,1886000000,0,73.485,47659000000.0,1215000000,-0.102,-41145000,0.0
ABC,2019-12-31,-87731000,40016738000,28954816000.0,11061922000.0,14.342,-67305000,3232604000,3232604000,46633528000,186568000,0.945,12.505,4168603000,532489000.0,3636114000.0,4168603000,0,71846000,0,0.018,0.0,261667000,333513000,0.007,333513000,261667000,230660000,0.91,0.9,0.91,2954626000,2954626000,19235658096.0,21.0,15.792,75505000,0.367,1,1231214000,0.026,8846162000,31007000,1476119000,11686466000,0,0.0,0.0,36947657000,30630456000.0,6317201000.0,18299659096.0,-141590000,0,-115015000,-13981000,-83088000,-222061000,-62339000,0,142810000,0,187640000,187640000,187640000,0,-1072000,0.004,970619000,260595000,29181860000,0.0,6.194,28.181,28.671,1442383000,0,88.88,0.101,0.101,12568816000,4375181000.0,47864742000,47864742000,0,31374000,685953000,1.0,205891754,206008000,207517000.0,232.344,31170576000,0,43020000,2184500000,151.308,-1675640000.0,-324807000,-0.006,-30432,0.0
ABT,2020-03-31,-9386000000,66777000000,15498000000.0,51279000000.0,17.201,-360000000,3377000000,3377000000,3281000000,564000000,1.434,1.195,18272000000,1468000000.0,16804000000.0,18272000000,0,828000000,0,0.015,0.36,792000000,1620000000,0.21,1620000000,792000000,653000000,0.32,0.31,0.32,30427000000,30427000000,178124046683.0,38.0,22.763,355000000,0.201,1,4445000000,0.575,39192000000,139000000,31672000000,4568000000,1081000000,291000000.0,790000000.0,36350000000,10808000000.0,25542000000.0,163229046683.0,-483000000,0,-147000000,50000000,-638000000,-735000000,-393000000,-36000000,715000000,-70000000,564000000,564000000,564000000,-20000000,0,0.073,3687000000,758000000,3181000000,1.125,5.365,45.607,45.683,7907000000,0,92.28,5.086,5.086,5292000000,25786000000.0,7726000000,7726000000,578000000,233000000,2548000000,1.0,1768845326,1768901000,1780578000.0,4.368,27585000000,3390000000,89000000,165000000,15.594,4690000000.0,133000000,-0.008,5412083,-0.012
ACN,2020-03-31,-1802257000,33503430000,15405293000.0,18098137000.0,24.274,-165370000,5436456000,5436456000,7782334000,1252082000,1.378,1.136,3410209000,744478000.0,2665731000.0,3410209000,4223647000,442116000,0,0.019,0.8,1500781000,1942897000,0.174,1942897000,1500781000,1492214000,1.94,1.91,1.94,15474589000,15474589000,102963593495.0,16.0,13.141,1365271000,2.142,1,3359171000,0.302,6698690000,8567000,13600918000,0,287904000,3643000.0,284261000.0,17582624000,11177575000.0,6405049000.0,104989840495.0,-374081000,-434456000,-770056000,204000,-511238000,-1289276000,-597289000,0,1530641000,-18157000,1234740000,1234740000,1234740000,0,17342000,0.111,1870226000,1488945000,1526135000,0.412,6.785,21.118,20.321,4607091000,0,158.5,2.351,2.263,8517949000,11867507000.0,11141505000,11141505000,0,372305000,1870226000,1.0,662396470,637485626,648833880.0,17.477,26804740000,4254782000,257474000,1405321000,42.048,4227718000.0,28138000,-0.0150000000000001,4856731,-0.019
ADBE,2020-03-31,-189000000,21214000000,6455000000.0,14759000000.0,21.712,-94000000,2688000000,2688000000,452000000,955000000,1.235,1.027,4711000000,84000000.0,4627000000.0,4711000000,3614000000,209000000,0,0.0,0.0,952000000,1161000000,0.376,1161000000,952000000,919000000,1.98,1.96,1.98,10465000000,10465000000,151381263500.0,42.0,34.627,1231000000,2.554,1,2639000000,0.854,12317000000,33000000,5692000000,0,1483000000,1483000000.0,0.0,10749000000,5228000000.0,5521000000.0,149358263500.0,38000000,0,-762000000,-6000000,0,-1233000000,-48000000,46000000,1325000000,-6000000,955000000,955000000,955000000,0,0,0.309,1702000000,937000000,265000000,0.0,14.272,46.209,46.477,1844000000,0,310.0,12.808,12.813,1389000000,15390000000.0,3091000000,3091000000,532000000,217000000,1128000000,1.0,481800850,482000000,488000000.0,6.413,8897000000,0,-36000000,727000000,18.459,1227000000.0,572733000,0.442,-330125,0.005
ADI,2019-12-31,-202147000,21376827000,1911179000.0,19465648000.0,31.744,-54839000,654408000,654408000,455423000,203874000,1.079,0.829,5493762000,748460000.0,4745302000.0,5493762000,0,203932000,0,0.018,0.54,275030000,478962000,0.367,478962000,275030000,226217000,0.55,0.55,0.55,11689517000,11689517000,48499210190.0,32.0,20.675,294809000,0.801,1,848142000,0.651,16330142000,48813000,8115497000,588503000,30232000,0.0,30232000.0,9687310000,1770542000.0,7916768000.0,43659856190.0,6086000,0,-89917000,0,-199160000,-289572000,-54732000,0,349648000,742000,203874000,203874000,203874000,0,0,0.156,574714000,273428000,211670000,0.982,3.735,36.027,36.26,1206769000,0,118.57,7.588,7.589,584366000,6906346000.0,1303565000,1303565000,257073000,37501000,199280000,1.0,368220091,368241000,372264000.0,3.54,5046685000,1567521000,22343000,2829609000,13.705,140637000.0,1843000,-0.2370000000000001,-82278,-0.002
ADM,2020-03-31,-2764000000,48395000000,26146000000.0,22249000000.0,33.705,-194000000,4734000000,4734000000,14019000000,391000000,1.51,1.55,12503000000,3890000000.0,8613000000.0,12503000000,0,245000000,0,0.04,0.0,458000000,703000000,0.047,703000000,458000000,375000000,0.69,0.69,0.69,18976000000,18976000000,27278026895.0,13.0,9.015,-849000000,-1.508,1,951000000,0.064,5194000000,83000000,33653000000,8830000000,10241000000,5098000000.0,5143000000.0,29419000000,17317000000.0,12102000000.0,19509026895.0,4540000000,-4000000,-112000000,3668000000,-203000000,3342000000,1853000000,2050000000,-655000000,0,391000000,391000000,391000000,0,0,0.026,705000000,246000000,9218000000,0.0,1.028,12.693,12.864,9883000000,0,35.12,0.303,0.307,2437000000,19026000000.0,14970000000,14970000000,0,51000000,664000000,1.0,555496210,563000000,564000000.0,26.59,43201000000,0,-16000000,1347000000,76.734,8829000000.0,3622000000,-0.044,-2391284,-0.0079999999999999
ADP,2020-03-31,-234400000,43383400000,35708700000.0,7674700000.0,12.769,-131900000,1705000000,1705000000,2239100000,820900000,1.03,6.901,2365800000,1001800000.0,1364000000.0,2365800000,593900000,120600000,0,0.024,0.91,1096700000,1217300000,0.301,1217300000,1096700000,1076700000,1.91,1.9,1.91,5490700000,5490700000,61009717878.0,18.0,15.746,986800000,2.295,1,1808700000,0.447,3406000000,20000000,5965400000,0,3200000,3200000.0,0.0,37892700000,34672800000.0,3219900000.0,60348917878.0,-4796100000,0,-353500000,-500000,-392900000,-6489100000,603500000,735400000,1118700000,-29200000,820900000,820900000,820900000,0,0,0.203,756600000,1052100000,115500000,0.476,10.991,23.85,23.922,1264200000,0,140.42,4.102,4.104,2642200000,18416500000.0,4047800000,4047800000,0,33400000,756600000,1.0,429774376,430000000,431800000.0,9.413,39977400000,0,255800000,782300000,92.971,1035900000.0,1000000,0.0090000000000001,-1979876,0.018
