ticker,calendarDate,accumulatedOtherComprehensiveIncome,assets,assetsCurrent,assetsNonCurrent,bookValuePerShare,capitalExpenditure,cashAndEquivalents,cashAndEquivalentsUSD,costOfRevenue,consolidatedIncome,currentRatio,debtToEquityRatio,debt,debtCurrent,debtNonCurrent,debtUSD,deferredRevenue,depreciationAmortizationAndAccretion,deposits,dividendYield,dividendsPerBasicCommonShare,earningBeforeInterestTaxes,earningsBeforeInterestTaxesDepreciationAmortization,EBITDAMargin,earningsBeforeInterestTaxesDepreciationAmortizationUSD,earningBeforeInterestTaxesUSD,earningsBeforeTax,earningsPerBasicShare,earningsPerDilutedShare,earningsPerBasicShareUSD,shareholdersEquity,shareholdersEquityUSD,enterpriseValue,enterpriseValueOverEBIT,enterpriseValueOverEBITDA,freeCashFlow,freeCashFlowPerShare,foreignCurrencyUSDExchangeRate,grossProfit,grossMargin,goodwillAndIntangibleAssets,interestExpense,investedCapital,inventory,investments,investmentsCurrent,investmentsNonCurrent,totalLiabilities,currentLiabilities,liabilitiesNonCurrent,marketCapitalization,netCashFlow,netCashFlowBusinessAcquisitionsDisposals,issuanceEquityShares,issuanceDebtSecurities,paymentDividendsOtherCashDistributions,netCashFlowFromFinancing,netCashFlowFromInvesting,netCashFlowInvestmentAcquisitionsDisposals,netCashFlowFromOperations,effectOfExchangeRateChangesOnCash,netIncome,netIncomeCommonStock,netIncomeCommonStockUSD,netLossIncomeFromDiscontinuedOperations,netIncomeToNonControllingInterests,profitMargin,operatingExpenses,operatingIncome,tradeAndNonTradePayables,payoutRatio,priceToBookValue,priceEarnings,priceToEarningsRatio,propertyPlantEquipmentNet,preferredDividendsIncomeStatementImpact,sharePriceAdjustedClose,priceSales,priceToSalesRatio,tradeAndNonTradeReceivables,accumulatedRetainedEarningsDeficit,revenues,revenuesUSD,researchAndDevelopmentExpense,shareBasedCompensation,sellingGeneralAndAdministrativeExpense,shareFactor,shares,weightedAverageShares,weightedAverageSharesDiluted,salesPerShare,tangibleAssetValue,taxAssets,incomeTaxExpense,taxLiabilities,tangibleAssetsBookValuePerShare,workingCapital,change_leverage,change_curr_ratio,change_shares,change_gross_margin,price_change
A,2019-09-30,-514000000,9452000000,3189000000,6263000000,15.416,-30000000,1382000000,1382000000,630000000,194000000,1.533,0.991,2407000000,616000000,1791000000,2407000000,336000000,76000000,0,0.008,0.164,252000000,328000000,0.24,328000000,252000000,231000000,0.63,0.63,0.63,4748000000,4748000000,27238600402,27,22.127,284000000,0.922,1,737000000,0.539,4700000000,21000000,3697000000,679000000,102000000,0,102000000,4704000000,2080000000,2624000000,26213600402,-383000000,-1160000000,-47000000,596000000,-51000000,497000000,-1193000000,-3000000,314000000,-1000000,194000000,194000000,194000000,0,0,0.142,487000000,250000000,354000000,0.26,5.521,24.476,24.783,850000000,0,84.51,5.077,5.14,930000000,-18000000,1367000000,1367000000,102000000,15000000,385000000,1,310183415,308000000,312000000,4.438,4752000000,0,37000000,0,15.429,1109000000,609000000,-0.5979999999999999,715737,-0.0040000000000000036,-0.030055614720151533
A,2019-06-30,-404000000,8625000000,3457000000,5168000000,15.215,-47000000,1765000000,1765000000,582000000,191000000,2.131,0.817,1798000000,504000000,1294000000,1798000000,344000000,55000000,0,0.009,0.164,240000000,295000000,0.232,295000000,240000000,222000000,0.61,0.6,0.61,4747000000,4747000000,22039246583,22,18.05,195000000,0.625,1,692000000,0.543,3618000000,18000000,3418000000,660000000,99000000,0,99000000,3878000000,1622000000,2256000000,22006246583,-390000000,0,-530000000,0,-51000000,-582000000,-51000000,-3000000,242000000,1000000,191000000,191000000,191000000,0,0,0.15,467000000,225000000,316000000,0.269,4.636,20.528,21.164,839000000,0,71.11,4.323,4.359,856000000,-122000000,1274000000,1274000000,101000000,17000000,366000000,1,309467678,312000000,316000000,4.083,5007000000,0,31000000,0,16.048,1835000000,0,-1.2790000000000004,-6525674,0.0030000000000000027,0.18844044438194354
A,2019-03-31,-398000000,9022000000,3812000000,5210000000,16.167,-39000000,2155000000,2155000000,569000000,182000000,3.41,0.76,1798000000,0,1798000000,1798000000,347000000,53000000,0,0.009,0.164,235000000,288000000,0.233,288000000,235000000,218000000,0.57,0.57,0.57,5125000000,5125000000,20779795315,20,16.771,213000000,0.672,1,669000000,0.54,3650000000,17000000,3897000000,657000000,96000000,0,96000000,3897000000,1118000000,2779000000,21136795315,97000000,0,-39000000,0,-52000000,-92000000,-56000000,-17000000,252000000,-7000000,182000000,182000000,182000000,0,0,0.147,453000000,216000000,314000000,0.288,4.124,18.923,19.166,827000000,0,66.89,4.211,4.225,819000000,178000000,1238000000,1238000000,99000000,16000000,354000000,1,315993352,317000000,321000000,3.905,5372000000,0,36000000,0,16.946,2694000000,0,0.020000000000000018,-1522517,-0.01100000000000001,0.06308865301240842
A,2018-12-31,-381000000,8952000000,3712000000,5240000000,15.836,-39000000,2057000000,2057000000,577000000,504000000,3.39,0.778,1798000000,0,1798000000,1798000000,346000000,54000000,0,0.008,0.164,266000000,320000000,0.249,320000000,266000000,248000000,1.58,1.57,1.58,5036000000,5036000000,25059715394,24,20.096,174000000,0.547,1,707000000,0.551,3699000000,18000000,3899000000,653000000,77000000,0,77000000,3916000000,1095000000,2821000000,25318715394,-190000000,-248000000,-53000000,0,-52000000,-122000000,-290000000,-3000000,213000000,9000000,504000000,504000000,504000000,0,0,0.393,457000000,250000000,315000000,0.104,5.028,22.209,22.399,829000000,0,79.74,5.077,5.085,833000000,90000000,1284000000,1284000000,102000000,24000000,355000000,1,317515869,318000000,322000000,4.038,5253000000,0,-256000000,0,16.519,2617000000,-1000000,0.10400000000000009,-1017185,0.0030000000000000027,-0.1611487333834963
A,2018-09-30,-408000000,8541000000,3848000000,4693000000,14.362,-35000000,2247000000,2247000000,585000000,195000000,3.286,0.869,1799000000,0,1799000000,1799000000,324000000,56000000,0,0.009,0.149,262000000,318000000,0.246,318000000,262000000,244000000,0.6,0.6,0.6,4567000000,4567000000,20317169790,20,16.505,337000000,1.06,1,709000000,0.548,3464000000,18000000,3458000000,638000000,68000000,0,68000000,3970000000,1171000000,2799000000,20765169790,-432000000,-79000000,-83000000,0,-47000000,-131000000,-114000000,1000000,372000000,-11000000,195000000,195000000,195000000,0,0,0.151,460000000,249000000,340000000,0.248,4.547,65.713,66.52,822000000,0,65.19,4.226,4.258,776000000,-336000000,1294000000,1294000000,104000000,14000000,356000000,1,318533054,318000000,322000000,4.069,5077000000,0,49000000,0,15.965,2677000000,0,-0.33000000000000007,-236493,-0.0010000000000000009,0.22319374137137593
A,2018-06-30,-335000000,8349000000,3667000000,4682000000,14.262,-33000000,2131000000,2131000000,542000000,236000000,3.616,0.828,1799000000,0,1799000000,1799000000,328000000,53000000,0,0.009,0.149,260000000,313000000,0.26,313000000,260000000,242000000,0.74,0.73,0.74,4564000000,4564000000,21108439731,21,17.431,164000000,0.512,1,661000000,0.549,3448000000,18000000,3555000000,623000000,70000000,0,70000000,3781000000,1014000000,2767000000,21440439731,0,-430000000,-226000000,-315000000,-48000000,-589000000,-473000000,-10000000,197000000,-15000000,236000000,236000000,236000000,0,0,0.196,436000000,225000000,273000000,0.201,4.698,71.948,71.553,801000000,0,67.26,4.458,4.476,733000000,-416000000,1203000000,1203000000,97000000,13000000,339000000,1,318769547,320000000,324000000,3.759,4901000000,0,6000000,0,15.316,2653000000,-316000000,0.30100000000000016,-1182579,0.015000000000000013,-0.03077609277430876
A,2018-03-31,-310000000,8784000000,4525000000,4259000000,14.326,-48000000,3011000000,3011000000,562000000,205000000,3.315,0.903,2115000000,315000000,1800000000,2115000000,333000000,50000000,0,0.009,0.149,246000000,296000000,0.245,296000000,246000000,227000000,0.64,0.63,0.64,4613000000,4613000000,18915435642,20,16.292,255000000,0.792,1,644000000,0.534,2932000000,19000000,3591000000,594000000,139000000,0,139000000,4167000000,1365000000,2802000000,19811435642,-208000000,-1000000,-35000000,-30000000,-48000000,-114000000,-50000000,-2000000,303000000,-15000000,205000000,205000000,205000000,0,0,0.17,429000000,215000000,271000000,0.233,4.295,83.593,82.56,798000000,0,61.92,4.197,4.224,754000000,-412000000,1206000000,1206000000,91000000,12000000,338000000,1,319952126,322000000,326000000,3.745,5852000000,0,22000000,0,18.174,3160000000,-30000000,0.08400000000000007,-2524453,-0.02200000000000002,0.08624031007751944
A,2017-12-31,-269000000,8698000000,4397000000,4301000000,14.0,-60000000,2887000000,2887000000,538000000,-320000000,3.231,0.923,2145000000,345000000,1800000000,2145000000,321000000,51000000,0,0.008,0.149,253000000,304000000,0.251,304000000,253000000,233000000,-0.99,-0.99,-0.99,4522000000,4522000000,21221879796,23,18.78,155000000,0.48,1,673000000,0.556,2974000000,20000000,3621000000,608000000,140000000,0,140000000,4172000000,1361000000,2811000000,21963879796,209000000,-6000000,-22000000,135000000,-48000000,37000000,-67000000,-1000000,215000000,24000000,-320000000,-320000000,-320000000,0,0,-0.264,434000000,239000000,292000000,-0.151,4.857,112.061,109.855,792000000,0,68.11,4.758,4.766,751000000,-529000000,1211000000,1211000000,93000000,31000000,341000000,1,322476579,323000000,323000000,3.749,5724000000,0,553000000,0,17.721,3036000000,134000000,-0.07000000000000028,-541448,0.01200000000000001,-0.09088239612391716
A,2017-09-30,-346000000,8426000000,4169000000,4257000000,15.003,-58000000,2678000000,2678000000,542000000,177000000,3.301,0.743,2011000000,210000000,1801000000,2011000000,291000000,52000000,0,0.008,0.132,246000000,298000000,0.251,298000000,246000000,226000000,0.55,0.54,0.55,4831000000,4831000000,21143177183,24,19.326,230000000,0.714,1,647000000,0.544,2968000000,20000000,3528000000,575000000,138000000,0,138000000,3591000000,1263000000,2328000000,21810177183,389000000,0,8000000,-70000000,-43000000,-106000000,-60000000,-2000000,288000000,-7000000,177000000,177000000,177000000,0,0,0.149,414000000,233000000,305000000,0.24,4.515,31.886,31.849,757000000,0,67.52,4.877,4.862,724000000,-126000000,1189000000,1189000000,89000000,12000000,325000000,1,323018027,322000000,329000000,3.693,5458000000,0,49000000,0,16.95,2906000000,-70000000,0.08099999999999996,1190024,0.009000000000000008,0.008738151658767823
A,2017-06-30,-417000000,8261000000,3996000000,4265000000,14.355,-43000000,2563000000,2563000000,518000000,175000000,3.22,0.792,2081000000,280000000,1801000000,2081000000,301000000,51000000,0,0.008,0.132,212000000,263000000,0.236,263000000,212000000,193000000,0.55,0.54,0.55,4608000000,4608000000,20343490074,25,19.906,185000000,0.576,1,596000000,0.535,2987000000,19000000,3551000000,566000000,137000000,0,137000000,3650000000,1241000000,2409000000,20825490074,0,-57000000,32000000,39000000,-42000000,29000000,-101000000,-1000000,228000000,18000000,175000000,175000000,175000000,0,0,0.157,395000000,201000000,289000000,0.24,4.519,32.9,32.848,716000000,0,64.71,4.74,4.727,678000000,-260000000,1114000000,1114000000,87000000,13000000,308000000,1,321828003,321000000,326000000,3.47,5274000000,0,18000000,0,16.43,2755000000,38000000,0.019000000000000128,490560,-0.0020000000000000018,0.043424509349405074
